1	290.0	2
1	290.0	3
1	290.0	4
1	290.0	5
1	290.0	6
1	68.7142857143	1
1	68.7142857143	2
1	68.7142857143	3
1	68.7142857143	4
1	68.7142857143	5
1	68.7142857143	6
1	68.7142857143	7
6	70.0	1
6	70.0	2
6	70.0	3
6	70.0	4
6	70.0	5
6	70.0	6
6	70.0	7
4	94.2857142857	1
4	94.2857142857	2
4	94.2857142857	3
4	94.2857142857	4
4	94.2857142857	5
4	94.2857142857	6
4	94.2857142857	7
1	54.5714285714	1
1	54.5714285714	2
1	54.5714285714	3
1	54.5714285714	4
1	54.5714285714	5
1	54.5714285714	6
1	54.5714285714	7
1	103.285714286	1
1	103.285714286	2
1	103.285714286	3
1	103.285714286	4
1	103.285714286	5
1	103.285714286	6
1	103.285714286	7
1	56.5714285714	1
1	56.5714285714	2
1	56.5714285714	3
1	56.5714285714	4
1	56.5714285714	5
1	56.5714285714	6
1	56.5714285714	7
1	113.428571429	1
1	113.428571429	2
1	113.428571429	3
1	113.428571429	4
1	113.428571429	5
1	113.428571429	6
1	113.428571429	7
1	103.285714286	1
1	103.285714286	2
1	103.285714286	3
1	103.285714286	4
1	103.285714286	5
1	103.285714286	6
1	103.285714286	7
1	110.0	1
1	110.0	2
1	110.0	3
1	110.0	4
1	110.0	5
1	110.0	6
1	110.0	7
1	100.0	1
1	100.0	2
1	100.0	3
1	100.0	4
1	100.0	5
1	100.0	6
1	100.0	7
1	439.602857143	1
1	439.602857143	2
1	439.602857143	3
1	439.602857143	4
1	439.602857143	5
1	439.602857143	6
1	439.602857143	7
1	452.498571429	1
1	452.498571429	2
1	452.498571429	3
1	452.498571429	4
1	452.498571429	5
1	452.498571429	6
1	452.498571429	7
1	23.8	2
1	23.8	3
1	23.8	5
1	23.8	6
1	23.8	7
4	39.3	1
4	39.3	2
4	39.3	3
4	39.3	4
4	39.3	5
4	39.3	6
4	39.3	7
5	34.06	1
5	34.06	2
5	34.06	3
5	34.06	4
5	34.06	5
5	34.06	6
5	34.06	7
1	27.7714285714	1
1	27.7714285714	2
1	27.7714285714	3
1	27.7714285714	4
1	27.7714285714	5
1	27.7714285714	6
1	27.7714285714	7
4	26.2	1
4	26.2	2
4	26.2	3
4	26.2	4
4	26.2	5
4	26.2	6
4	26.2	7
5	2.62	1
5	2.62	2
5	2.62	3
5	2.62	4
5	2.62	5
5	2.62	6
5	2.62	7
1	80.696	1
1	80.696	2
1	80.696	4
1	80.696	6
1	80.696	7
6	22.008	1
6	22.008	2
6	22.008	4
6	22.008	6
6	22.008	7
7	18.34	1
7	18.34	2
7	18.34	4
7	18.34	6
7	18.34	7
2	1200.0	1
6	5.24	1
6	5.24	2
6	5.24	3
6	5.24	4
6	5.24	5
6	5.24	6
6	5.24	7
6	60.26	1
6	60.26	2
6	60.26	3
6	60.26	4
6	60.26	5
6	60.26	6
6	60.26	7
6	10.0614285714	1
6	10.0614285714	2
6	10.0614285714	3
6	10.0614285714	4
6	10.0614285714	5
6	10.0614285714	6
6	10.0614285714	7
7	20.0428571429	1
7	20.0428571429	2
7	20.0428571429	3
7	20.0428571429	4
7	20.0428571429	5
7	20.0428571429	6
7	20.0428571429	7
4	403.48	1
4	403.48	2
4	403.48	4
4	403.48	5
4	403.48	7
5	36.68	1
5	36.68	2
5	36.68	4
5	36.68	5
5	36.68	7
7	154.056	1
7	154.056	2
7	154.056	4
7	154.056	5
7	154.056	7
6	76.882	1
6	76.882	2
6	76.882	4
6	76.882	5
6	76.882	7
7	286.715	1
7	286.715	2
7	286.715	3
7	286.715	4
7	286.715	5
7	286.715	7
4	38.33	1
4	38.33	2
4	38.33	4
4	38.33	7
3	137.55	2
3	137.55	3
3	137.55	5
3	137.55	7
5	119.21	2
5	119.21	3
5	119.21	5
5	119.21	7
2	18.34	2
2	18.34	3
2	18.34	5
2	18.34	7
7	22.925	2
7	22.925	3
7	22.925	5
7	22.925	7
3	4.585	2
3	4.585	3
3	4.585	5
3	4.585	7
7	27.51	2
7	27.51	3
7	27.51	5
7	27.51	7
1	13.1	1
1	13.1	2
1	13.1	3
1	13.1	4
1	13.1	5
1	13.1	6
1	13.1	7
2	51.352	1
2	51.352	2
2	51.352	4
2	51.352	6
2	51.352	7
7	436.49	1
7	161.393333333	2
7	161.393333333	4
7	161.393333333	6
6	67.674	1
6	67.674	2
6	67.674	4
6	67.674	6
6	67.674	7
6	4.58666666667	2
6	4.58666666667	6
6	4.58666666667	7
2	18.34	2
2	18.34	6
2	18.34	7
